TID;GENRE;YEAR
tt7120588;Drama;1999
tt7109056;Comedy;1999
tt7112548;Drama;1999
tt7158344;Romance;1999
tt7158372;Drama;1999
tt7148036;Drama,Romance;1999
tt7154564;Drama;1999
tt7141880;Drama;1999
tt7141950;Drama;1999
tt7142036;Romance;1999
tt7142066;Romance;1999
tt7148068;Drama,Romance;1999
tt7148158;Drama;1999
tt7148236;Drama,Romance;1999
tt7153598;Documentary;1999
tt7153660;Documentary;1999
tt7154318;Drama,Romance;1999
tt7151096;Drama;1999
tt7154622;Drama;1999
tt7154660;Action,Drama;1999
tt7154710;Action,Drama,Romance;1999
tt7384100;Action;1999
tt7357200;Action,Comedy,Drama;1999
tt7390490;Documentary;1999
tt7393856;History;1999
tt7434340;Documentary;1999
tt7424898;Adult;1999
tt7434656;Documentary;1999
tt7488322;Drama;1999
tt7562630;Romance;1999
tt7535456;Documentary;1999
tt7686414;Drama;1999
tt7678522;Drama;1999
tt7632364;Drama;1999
tt7618900;Thriller;1999
tt7897646;Documentary;1999
tt7860294;Crime,Drama;1999
tt7719698;Documentary;1999
tt7719878;Documentary;1999
tt7722024;Documentary;1999
tt7696134;Drama;1999
tt7827450;Documentary,Sport;1999
tt7732240;Documentary;1999
tt7741866;Thriller;1999
tt7886862;Action,Thriller;1999
tt7886942;Drama;1999
tt7876242;Comedy;1999
tt7883132;Documentary;1999
tt7885904;Drama;1999
tt7854390;Documentary;1999
tt7834140;Documentary;1999
tt7774840;Drama;1999
tt7762418;Documentary;1999
tt7966476;Action;1999
tt5473396;Adult;1999
tt5527424;Documentary;1999
tt5527868;Drama,Thriller;1999
tt5516942;Fantasy;1999
tt5486926;Action,Horror;1999
tt5502276;Comedy;1999
tt5593288;Thriller;1999
tt5622916;Drama;1999
tt5615202;Action;1999
tt5808536;Horror;1999
tt5851544;Adult;1999
tt5851548;Adult;1999
tt5773832;Documentary;1999
tt5990868;Comedy;1999
tt5893456;Documentary;1999
tt5916224;Action,Drama,Romance;1999
tt5955444;Documentary;1999
tt5955756;Action;1999
tt5972258;Documentary;1999
tt5925510;Documentary;1999
tt6030236;Comedy;1999
tt6030642;Documentary;1999
tt6138820;Drama;1999
tt6128578;Documentary;1999
tt6142032;Music;1999
tt6035476;Documentary;1999
tt6040912;Drama;1999
tt6186608;Drama;1999
tt6057804;Crime;1999
tt6223458;Documentary;1999
tt6235982;Horror;1999
tt6255056;History;1999
tt6246738;Comedy;1999
tt6257646;Thriller;1999
tt6516396;Musical;1999
tt6509906;Drama;1999
tt6430934;Drama;1999
tt6466646;Comedy;1999
tt6396018;Documentary;1999
tt6558676;Family;1999
tt6604570;Drama;1999
tt6579638;War;1999
tt6571498;Fantasy;1999
tt6728462;Documentary;1999
tt6658498;Documentary;1999
tt6658564;Documentary;1999
tt6658598;Documentary;1999
tt6858086;Drama,Family;1999
tt6841138;Drama;1999
tt6756238;Action,Drama;1999
tt6756342;Comedy,Romance;1999
tt6766832;Documentary;1999
tt6765220;War;1999
tt6829596;Drama,Romance;1999
tt6940972;Action,Drama,Romance;1999
tt6936224;Action,Drama,Romance;1999
tt6925460;Drama;1999
tt6936608;Music;1999
tt7251978;Action;1999
tt7262436;War;1999
tt7262448;Biography;1999
tt7271454;War;1999
tt7031246;Crime,Documentary;1999
tt7014446;Documentary,Music;1999
tt4300696;Drama;1999
tt4566716;Sport;1999
tt4524444;Drama;1999
tt4487294;Documentary;1999
tt4518104;Documentary;1999
tt4517186;Adult;1999
tt4507784;Documentary;1999
tt4682582;Documentary;1999
tt4666602;Drama;1999
tt4590862;Documentary;1999
tt4596284;Romance;1999
tt4571946;Documentary;1999
tt4634290;Drama;1999
tt4641882;Action,Animation,Horror;1999
tt4613782;Adult;1999
tt4778682;Romance;1999
tt4778712;Romance;1999
tt4778746;Action,Drama;1999
tt4744132;Drama,Family,Romance;1999
tt4860716;Fantasy,Musical,Romance;1999
tt4839166;Action;1999
tt5052974;Documentary;1999
tt4975728;Action;1999
tt4975852;Action;1999
tt4975862;Action;1999
tt4975876;Action;1999
tt4975894;Action;1999
tt4976468;Action;1999
tt4976480;Drama;1999
tt4976494;Action;1999
tt5048990;Drama;1999
tt4896858;Action;1999
tt4896862;Drama,Mystery,Thriller;1999
tt4896878;Drama;1999
tt4912940;Action;1999
tt4910624;Documentary;1999
tt4953770;Documentary;1999
tt4955970;Crime,Mystery,Thriller;1999
tt5100116;Documentary;1999
tt5013214;Documentary;1999
tt5013594;Drama;1999
tt5012470;Drama;1999
tt5037648;Drama;1999
tt4995644;Action;1999
tt5169530;Comedy;1999
tt5158620;Drama;1999
tt5168878;Action;1999
tt5162432;Romance;1999
tt5162500;Crime,Drama;1999
tt5196554;Documentary;1999
tt5126790;Documentary;1999
tt5196156;Documentary;1999
tt5192944;Music;1999
tt5177940;Drama,Family;1999
tt5178168;Comedy;1999
tt5174962;Adventure,Animation,Comedy;1999
tt5321784;Romance;1999
tt5304342;Adult,Documentary;1999
tt5255932;Romance;1999
tt5280722;Drama;1999
tt5449776;Documentary;1999
tt5360296;Drama,Romance;1999
tt5397512;Documentary;1999
tt5378096;Action,Crime,Drama;1999
tt3715646;Romance;1999
tt3715678;Drama;1999
tt3715686;Horror;1999
tt3715702;Action;1999
tt3717696;Horror;1999
tt3717702;Horror;1999
tt3717736;Horror;1999
tt3717748;Drama,Fantasy,Horror;1999
tt3717774;Horror;1999
tt3717786;Horror;1999
tt3717810;Drama;1999
tt3717814;Mystery;1999
tt3717832;Action;1999
tt3717860;Horror;1999
tt3719738;Documentary;1999
tt3710822;Action,Animation,Sci-Fi;1999
tt3720006;Thriller;1999
tt3689646;Comedy;1999
tt3720034;Thriller;1999
tt3720056;Thriller;1999
tt3720082;Thriller;1999
tt3720118;Thriller;1999
tt3720146;Thriller;1999
tt3720156;Thriller;1999
tt3715050;Horror;1999
tt3715118;Action;1999
tt3715150;Romance;1999
tt3715162;Thriller;1999
tt3715178;Horror;1999
tt3715200;Drama;1999
tt3720438;Action;1999
tt3720444;Thriller;1999
tt3807776;Thriller;1999
tt3794474;Comedy;1999
tt3815458;Documentary;1999
tt3819788;Documentary;1999
tt3795900;Documentary;1999
tt3785926;Romance;1999
tt3788302;Drama;1999
tt3766460;Drama;1999
tt3836154;Drama;1999
tt3898912;Drama;1999
tt3905698;Documentary;1999
tt3896336;Documentary;1999
tt3896428;Documentary;1999
tt3896440;Documentary;1999
tt3858488;Documentary;1999
tt3858698;Documentary;1999
tt3868626;Comedy;1999
tt4075238;Adult;1999
tt4006052;Documentary;1999
tt4006204;Documentary;1999
tt3980262;Comedy;1999
tt4203820;Romance;1999
tt4204064;Drama;1999
tt4124144;Mystery;1999
tt4103496;Documentary;1999
tt4460432;Horror;1999
tt4247448;Action;1999
tt4251118;Drama;1999
tt4272380;Action,Drama;1999
tt4413348;Documentary;1999
tt4324276;Action;1999
tt4308548;Documentary;1999
tt2801284;Documentary;1999
tt2965868;Comedy;1999
tt2880796;Documentary;1999
tt2865766;Animation,Drama;1999
tt2848600;Documentary;1999
tt3095442;Documentary;1999
tt3063892;Drama;1999
tt3037408;Thriller;1999
tt3110342;Action;1999
tt3132460;Thriller;1999
tt3111488;Documentary;1999
tt3180484;Documentary;1999
tt3241818;Romance;1999
tt3229934;Drama;1999
tt3226590;Action;1999
tt3307192;Documentary;1999
tt3425020;Documentary;1999
tt3429812;Documentary;1999
tt3429816;Thriller;1999
tt3350994;Drama;1999
tt3386344;Documentary;1999
tt3392902;Documentary;1999
tt3535364;Drama;1999
tt3527012;Documentary;1999
tt3527382;Documentary;1999
tt3466278;Documentary;1999
tt3470516;Comedy;1999
tt3505600;Drama;1999
tt3491732;Crime,Drama,Thriller;1999
tt3669784;Documentary;1999
tt3667498;Documentary;1999
tt3582068;Horror;1999
tt3569224;Drama;1999
tt3573264;Drama;1999
tt3562002;Documentary;1999
tt3569802;Documentary;1999
tt3627830;Documentary;1999
tt3640408;Documentary;1999
tt3627814;Documentary;1999
tt3620540;Documentary;1999
tt4219268;Drama;1999
tt4228400;Drama;1999
tt4216750;Documentary;1999
tt3692600;Documentary;1999
tt3685418;Biography,Drama;1999
tt3715218;Horror;1999
tt3715280;Thriller;1999
tt3715310;Thriller;1999
tt3715324;Thriller;1999
tt3695770;Comedy;1999
tt3715334;Thriller;1999
tt3715358;Horror;1999
tt3715376;Horror;1999
tt3715394;Horror;1999
tt3713616;Thriller;1999
tt3713626;Horror;1999
tt3713634;Thriller;1999
tt3713644;Thriller;1999
tt3713662;Action;1999
tt3713672;Thriller;1999
tt3713682;Thriller;1999
tt3713700;Drama;1999
tt3713712;Horror;1999
tt3715626;Drama,Thriller;1999
tt2393755;Action,Comedy,Crime;1999
tt2395874;Comedy,Drama,Romance;1999
tt2522922;Drama,Thriller;1999
tt2355683;Documentary;1999
tt2354019;Drama,Romance,War;1999
tt2363239;Sci-Fi;1999
tt2385039;Documentary,Music;1999
tt2378378;Romance;1999
tt2381079;Adventure,Documentary;1999
tt2380272;Romance;1999
tt2380288;Romance;1999
tt2424492;Crime,Thriller;1999
tt2437236;Action;1999
tt2425014;Documentary;1999
tt2504736;Documentary;1999
tt2491654;Family;1999
tt2406630;Music;1999
tt2404822;Comedy,Drama,Romance;1999
tt2431002;Documentary;1999
tt2435144;Documentary;1999
tt2455196;Documentary;1999
tt2640626;Action;1999
tt2614022;Comedy;1999
tt2635638;Drama;1999
tt2639384;Comedy;1999
tt2639586;Comedy,Romance;1999
tt2527430;Comedy;1999
tt2531988;Comedy,Family;1999
tt2608642;Drama;1999
tt2616992;Horror;1999
tt2575948;Drama;1999
tt2575958;Drama;1999
tt2559178;Action;1999
tt2973606;Adult;1999
tt2732542;Action;1999
tt2969590;Thriller;1999
tt2973158;Documentary;1999
tt2660514;Action;1999
tt2660538;Horror;1999
tt2660560;Action;1999
tt2660572;Drama;1999
tt2660606;Horror;1999
tt2660626;Horror;1999
tt2660668;Drama;1999
tt2660732;Action;1999
tt2651852;Documentary;1999
tt2666164;Documentary;1999
tt2648146;Documentary;1999
tt2643818;Action,Animation,Comedy;1999
tt2656542;Thriller;1999
tt2723060;Documentary;1999
tt2677108;Horror;1999
tt2677136;Action;1999
tt2677162;Thriller;1999
tt2699846;Horror;1999
tt2700378;Documentary;1999
tt2773930;Action;1999
tt2893222;Documentary;1999
tt2897504;Adventure;1999
tt2913928;Thriller;1999
tt2894540;Action;1999
tt2736876;Animation;1999
tt2758222;Drama;1999
tt2739370;Action;1999
tt1861992;Documentary;1999
tt1860295;Comedy;1999
tt1854547;Documentary;1999
tt1853724;Documentary,Music;1999
tt1852008;History;1999
tt1925425;Documentary;1999
tt1889366;Documentary;1999
tt1895604;Horror;1999
tt1891864;Documentary;1999
tt1919064;Drama,War;1999
tt1975177;Documentary;1999
tt2027182;Documentary;1999
tt2032458;Biography;1999
tt1969041;Drama;1999
tt1966427;Drama;1999
tt1956571;Drama;1999
tt1954372;Fantasy;1999
tt1990180;Drama,Family,Romance;1999
tt1992125;Action;1999
tt1988719;Documentary;1999
tt1989513;Documentary,History,War;1999
tt1978549;Documentary,History;1999
tt2008546;Action;1999
tt2008624;Action;1999
tt2008631;Action;1999
tt2008644;Action;1999
tt2078767;Drama;1999
tt2075091;Drama;1999
tt2036378;Western;1999
tt2060565;Documentary;1999
tt2070726;Thriller;1999
tt2125533;Biography,Documentary,Sport;1999
tt2093135;Action;1999
tt2093277;Documentary;1999
tt2109190;Drama;1999
tt2109213;Documentary;1999
tt2106583;Documentary;1999
tt2109167;Documentary;1999
tt2179560;Documentary;1999
tt2177406;Music;1999
tt2168454;Drama,Romance;1999
tt2156042;Documentary;1999
tt2235494;Documentary;1999
tt2196286;Documentary;1999
tt2224323;Documentary;1999
tt2216320;Comedy,Horror;1999
tt2296801;Crime,Drama,Horror;1999
tt2246396;Adventure,History,Sci-Fi;1999
tt2244565;Documentary;1999
tt2268692;Comedy;1999
tt2268437;Drama;1999
tt2271517;Documentary;1999
tt2265223;Fantasy;1999
tt2343373;Action,Drama;1999
tt2349750;Documentary;1999
tt2349756;Documentary;1999
tt2343715;Crime,Drama;1999
tt2310952;History;1999
tt2330098;Drama,Thriller;1999
tt2333304;Documentary;1999
tt2312260;Documentary;1999
tt2317099;Drama;1999
tt2317251;Documentary;1999
tt2318409;Horror;1999
tt1646925;Documentary,War;1999
tt1575544;Comedy;1999
tt1575564;Comedy;1999
tt1575622;Family;1999
tt1575628;Comedy;1999
tt1575641;Drama;1999
tt1575654;Comedy;1999
tt1575660;Romance;1999
tt1575661;Comedy;1999
tt1575663;Romance;1999
tt1575666;Family;1999
tt1575672;Action,Drama,Romance;1999
tt1575688;Family;1999
tt1575690;Comedy;1999
tt1575691;Romance;1999
tt1575707;Family;1999
tt1575507;Family;1999
tt1575510;Romance;1999
tt1575516;Family;1999
tt1603893;Musical;1999
tt1594299;Documentary;1999
tt1601224;Action,Drama;1999
tt1661847;Horror;1999
tt1623780;Animation,Family,Fantasy;1999
tt1632534;Documentary;1999
tt1632564;Documentary;1999
tt1621769;Documentary;1999
tt1639463;Documentary;1999
tt1632698;Documentary;1999
tt1727553;Documentary;1999
tt1719025;Biography,Documentary;1999
tt1776284;Horror;1999
tt1774470;Documentary;1999
tt1773666;Horror;1999
tt1776148;Documentary;1999
tt1774621;Documentary;1999
tt1735208;Comedy;1999
tt1753996;Comedy;1999
tt1757675;Documentary;1999
tt1756860;Biography,Drama,History;1999
tt1748246;Documentary;1999
tt1831645;Documentary;1999
tt1833792;Documentary;1999
tt1827548;Documentary;1999
tt1825162;Documentary;1999
tt1795054;Documentary;1999
tt1791578;Music;1999
tt1790883;Thriller;1999
tt1822234;Documentary;1999
tt1813633;Documentary;1999
tt1805276;Documentary;1999
tt1837560;Action;1999
tt1836910;Documentary;1999
tt1836920;Documentary;1999
tt1846708;Thriller;1999
tt1841558;Documentary;1999
tt1842391;Action;1999
tt1847752;Sport;1999
tt1841767;Documentary;1999
tt1864420;Documentary;1999
tt1864421;Documentary;1999
tt1864538;Documentary;1999
tt1864539;Documentary;1999
tt1872834;Documentary;1999
tt1217568;Drama;1999
tt1244090;Documentary;1999
tt1233213;Action;1999
tt1315366;Documentary;1999
tt1315411;Documentary;1999
tt1315428;Documentary;1999
tt1267271;Drama;1999
tt1294665;Action;1999
tt1268906;Action,Crime,Drama;1999
tt1279511;Comedy;1999
tt1360746;Documentary;1999
tt1319563;Horror;1999
tt1316484;Documentary;1999
tt1332063;Documentary;1999
tt1517561;Drama,Romance;1999
tt1369454;Documentary;1999
tt1407158;Drama;1999
tt1486672;Documentary;1999
tt1482248;Documentary;1999
tt1414851;Crime,Drama,Thriller;1999
tt1512872;Action;1999
tt1508276;Drama;1999
tt1509831;Comedy;1999
tt1473067;Action;1999
tt1467117;Drama;1999
tt1468332;Drama;1999
tt1468360;Drama;1999
tt1469360;Drama;1999
tt1459906;Drama;1999
tt1459911;Drama;1999
tt1499645;Action;1999
tt1494826;Drama;1999
tt1456864;Drama;1999
tt1456891;Drama;1999
tt1456894;Drama;1999
tt1461270;Drama;1999
tt1454094;Drama;1999
tt1454111;Fantasy;1999
tt1454124;Drama;1999
tt1454145;Drama;1999
tt1454147;Drama;1999
tt1463186;Drama;1999
tt1459931;Drama;1999
tt1459967;Fantasy;1999
tt1459970;Drama;1999
tt1462604;Drama;1999
tt1462615;Drama;1999
tt1452890;Drama;1999
tt1452902;Drama,Fantasy;1999
tt1455611;Documentary;1999
tt1451391;Action;1999
tt1673691;Documentary;1999
tt1527106;Comedy;1999
tt1552766;Action,Comedy,Drama;1999
tt1592788;Documentary;1999
tt1582504;Documentary;1999
tt1579900;Comedy;1999
tt1582570;Documentary;1999
tt1582581;Documentary;1999
tt1587279;Drama;1999
tt1636514;Documentary;1999
tt1636555;Documentary;1999
tt1641614;Drama,Mystery,Thriller;1999
tt1645099;Documentary;1999
tt0810669;Comedy;1999
tt0831333;Documentary;1999
tt0829187;Animation;1999
tt0829252;Documentary;1999
tt0818746;Comedy,Mystery;1999
tt0833461;Drama,War;1999
tt0833500;Drama;1999
tt0833562;Crime,Drama;1999
tt0821449;Documentary;1999
tt0836663;Documentary;1999
tt0826076;Drama,War;1999
tt0816566;Comedy;1999
tt0821794;Action,War;1999
tt0878820;Action,Horror,Mystery;1999
tt0893304;Documentary;1999
tt0885523;Crime;1999
tt0871447;Drama;1999
tt0950586;Documentary;1999
tt0947067;Documentary;1999
tt0940881;Action,Drama,Romance;1999
tt0944102;Drama;1999
tt0910579;Drama,Romance;1999
tt0934508;Comedy;1999
tt0927587;Documentary;1999
tt1099950;Documentary;1999
tt0954944;Drama,Romance;1999
tt0961737;Documentary;1999
tt0953603;Drama;1999
tt0985641;Action;1999
tt0984177;Action,Drama,Romance;1999
tt0978703;Action;1999
tt1037772;Documentary;1999
tt1032206;Documentary;1999
tt1034088;Drama,History,Music;1999
tt0996357;Documentary;1999
tt1003080;Horror,Thriller;1999
tt1027835;Action,Crime,Drama;1999
tt1020777;Documentary;1999
tt1067920;Adventure,Animation,Crime;1999
tt1087644;Action;1999
tt1085497;Documentary;1999
tt1089768;Documentary;1999
tt1054049;Drama;1999
tt1056055;Documentary;1999
tt1056174;Documentary;1999
tt1042470;Action;1999
tt1042513;Action;1999
tt1051716;Documentary;1999
tt1042560;Comedy;1999
tt1057879;Documentary;1999
tt1077086;Documentary;1999
tt1151413;Biography,Documentary;1999
tt1117512;Drama;1999
tt1148296;Documentary;1999
tt1147514;Action,Adventure,Animation;1999
tt1130991;Comedy;1999
tt1159652;Documentary;1999
tt1161409;Horror;1999
tt1159233;Documentary;1999
tt1169243;Documentary;1999
tt1192385;Crime;1999
tt1260400;Documentary,History;1999
tt1212129;Action;1999
tt1212153;Action;1999
tt0485535;Action,Crime,Drama;1999
tt0485243;Romance;1999
tt0475939;Documentary,Music;1999
tt0481078;Documentary;1999
tt0475085;Drama;1999
tt0475095;Documentary,War;1999
tt0481938;Horror;1999
tt0484503;Documentary;1999
tt0482020;Musical,Romance;1999
tt0475226;Documentary;1999
tt0483800;Documentary;1999
tt0477782;Documentary;1999
tt0479526;Documentary;1999
tt0482992;Drama;1999
tt0478711;Documentary;1999
tt0479688;Drama;1999
tt0480557;Drama;1999
tt0481431;Documentary;1999
tt0484010;Action,Comedy,Fantasy;1999
tt0482369;Documentary;1999
tt0482529;Documentary;1999
tt0485088;Comedy;1999
tt0484325;Thriller;1999
tt0477464;Documentary;1999
tt0477479;Drama;1999
tt0485205;Adventure,Drama,Musical;1999
tt0479277;Documentary;1999
tt0489530;Action;1999
tt0497815;Drama;1999
tt0490560;Comedy;1999
tt0493289;Adventure,History,Romance;1999
tt0495299;Drama;1999
tt0498935;Documentary;1999
tt0486266;Documentary;1999
tt0493738;Drama;1999
tt0491968;Documentary;1999
tt0493746;Documentary;1999
tt0487518;Documentary;1999
tt0491197;Comedy,Drama;1999
tt0495794;Action;1999
tt0788212;Drama;1999
tt0785000;Drama,Family,Thriller;1999
tt0780487;Sport;1999
tt0783571;Documentary;1999
tt0780057;Drama;1999
tt0780073;Comedy;1999
tt0772710;Action,Comedy,Crime;1999
tt0778842;Crime,Drama,Horror;1999
tt0772848;Documentary;1999
tt0768111;Biography,Drama,Romance;1999
tt0768140;Crime;1999
tt0769764;Drama;1999
tt0774483;Drama;1999
tt0774530;Animation;1999
tt0774549;Documentary;1999
tt0773171;Comedy;1999
tt0777776;Comedy;1999
tt0842478;Documentary;1999
tt0848611;Drama;1999
tt0846051;Comedy;1999
tt0810398;Action,Comedy,Sci-Fi;1999
tt0803099;Documentary;1999
tt0807765;Comedy;1999
tt0804270;Documentary;1999
tt0426872;Documentary;1999
tt0427845;Drama,Romance;1999
tt0425422;Crime,Drama,Mystery;1999
tt0437131;Action;1999
tt0435503;Drama;1999
tt0434875;Documentary;1999
tt0436980;Drama;1999
tt0433110;Action,Crime,Thriller;1999
tt0431671;Comedy,Romance;1999
tt0431785;Drama,Fantasy;1999
tt0433644;Comedy,Drama;1999
tt0431192;Drama;1999
tt0441841;Documentary;1999
tt0441851;Documentary;1999
tt0441878;Documentary;1999
tt0441912;Drama;1999
tt0442806;Drama;1999
tt0441288;Documentary;1999
tt0438783;Drama;1999
tt0438818;Drama;1999
tt0439641;Romance;1999
tt0438864;Comedy;1999
tt0794343;Documentary;1999
tt0796808;Action;1999
tt0792969;Documentary;1999
tt0456171;Comedy;1999
tt0457789;Action,Crime,Drama;1999
tt0446908;Documentary;1999
tt0457017;Action,History;1999
tt0446987;Documentary;1999
tt0446347;Crime,Drama,Thriller;1999
tt0450650;Drama;1999
tt0453203;Documentary;1999
tt0453226;Documentary;1999
tt0454926;Crime,Drama;1999
tt0447334;Documentary;1999
tt0447352;Documentary;1999
tt0450806;Documentary;1999
tt0454310;Documentary;1999
tt0447525;Documentary;1999
tt0451804;Documentary;1999
tt0455147;Documentary;1999
tt0445024;Adventure,Sci-Fi,Thriller;1999
tt0454406;Comedy;1999
tt0457685;Family;1999
tt0459399;Drama;1999
tt0459421;Drama;1999
tt0471373;Action,Crime,Drama;1999
tt0464786;Documentary;1999
tt0460613;Drama;1999
tt0464036;Documentary;1999
tt0460719;Drama,Mystery;1999
tt0461609;Documentary;1999
tt0466725;Documentary;1999
tt0459093;Documentary;1999
tt0466726;Documentary;1999
tt0466727;Documentary;1999
tt0465168;Documentary;1999
tt0461854;Documentary;1999
tt0465282;Documentary;1999
tt0467849;Action,Crime,Thriller;1999
tt0466984;Documentary;1999
tt0498060;Documentary;1999
tt0499192;Musical;1999
tt0393030;Action;1999
tt0393997;Action;1999
tt0393075;Action;1999
tt0392380;Family,Fantasy;1999
tt0393281;Action;1999
tt0393352;Action;1999
tt0393469;Sci-Fi;1999
tt0395180;Drama;1999
tt0393543;Action;1999
tt0393580;Action;1999
tt0393677;Action;1999
tt0391903;Drama;1999
tt0390149;Comedy;1999
tt0388480;Drama;1999
tt0389397;Comedy;1999
tt0388880;Drama;1999
tt0389919;Documentary;1999
tt0389109;Comedy;1999
tt0410518;Comedy,Sci-Fi;1999
tt0410809;Action,Drama;1999
tt0402107;Documentary;1999
tt0410396;Comedy;1999
tt0398177;Drama;1999
tt0398353;Drama;1999
tt0400313;Action;1999
tt0400511;Documentary;1999
tt0400533;Horror,Thriller;1999
tt0401310;Documentary;1999
tt0398698;Sci-Fi;1999
tt0397976;Action;1999
tt0398026;Comedy;1999
tt0399779;Documentary;1999
tt0405798;Drama;1999
tt0403146;Documentary;1999
tt0405138;Romance;1999
tt0404235;Thriller;1999
tt0404287;Documentary;1999
tt0402501;Documentary;1999
tt0405419;Comedy,Documentary;1999
tt0405482;Drama;1999
tt0403606;Drama;1999
tt0402865;Documentary;1999
tt0417228;Drama;1999
tt0417396;Comedy;1999
tt0416637;Documentary;1999
tt0415073;Documentary;1999
tt0411327;Drama;1999
tt0414209;Comedy;1999
tt0412816;Documentary;1999
tt0413690;Comedy;1999
tt0412879;Adventure,Animation,Fantasy;1999
tt0424535;Documentary;1999
tt0424769;Comedy;1999
tt0430827;Drama;1999
tt0421760;Comedy;1999
tt0430321;Drama;1999
tt0422081;Adult,Animation,Fantasy;1999
tt0419787;Comedy;1999
tt0418097;Documentary;1999
tt0419194;Drama;1999
tt0420153;Documentary;1999
tt0418756;Documentary;1999
tt0420506;Documentary;1999
tt0427671;Documentary;1999
tt0368369;Documentary;1999
tt0368373;Animation;1999
tt0367466;Drama,Fantasy,Mystery;1999
tt0368400;Romance,Thriller;1999
tt0366649;Documentary;1999
tt0368558;Drama,Horror;1999
tt0364244;Action,Drama;1999
tt0364251;Action,Drama;1999
tt0364267;Action,Drama;1999
tt0364295;Drama;1999
tt0364507;Action,Drama,Thriller;1999
tt0364521;Action,Drama;1999
tt0364711;Action,Drama;1999
tt0363857;Comedy,Romance;1999
tt0363878;Documentary;1999
tt0363899;Action;1999
tt0383678;Comedy;1999
tt0383714;Comedy,Drama;1999
tt0374552;Animation;1999
tt0382978;Documentary,Drama;1999
tt0374570;Documentary;1999
tt0383009;Drama,History,Romance;1999
tt0382200;Action;1999
tt0384060;Adult;1999
tt0374824;Adventure,Documentary,Family;1999
tt0384227;Drama;1999
tt0374972;Documentary;1999
tt0384447;Drama;1999
tt0384452;Action;1999
tt0373677;Documentary;1999
tt0373073;Action;1999
tt0373183;Horror,Thriller;1999
tt0372580;Drama,Romance;1999
tt0381608;Action;1999
tt0381664;Comedy;1999
tt0381687;Action;1999
tt0381693;Action;1999
tt0381018;Action;1999
tt0381102;Action;1999
tt0381113;Thriller;1999
tt0380242;Fantasy;1999
tt0382165;Action;1999
tt0375535;Comedy,Family;1999
tt0375555;Drama;1999
tt0376531;Drama;1999
tt0378487;Documentary;1999
tt0375803;Comedy,Family;1999
tt0375873;Adventure,Family,Sci-Fi;1999
tt0377008;Action,Animation,Comedy;1999
tt0397365;Documentary;1999
tt0391356;Music;1999
tt0395345;Documentary,Sport;1999
tt0396105;Action;1999
tt0396191;Action;1999
tt0395651;Documentary;1999
tt0396444;Documentary,Music;1999
tt0387308;Documentary;1999
tt0384825;Comedy,Crime;1999
tt0387492;Documentary;1999
tt0387527;Documentary;1999
tt0387035;Action;1999
tt0387101;Action;1999
tt0393717;Action;1999
tt0393898;Action;1999
tt0344921;Drama,Horror;1999
tt0346652;Action,Crime;1999
tt0347501;Action;1999
tt0345843;Drama;1999
tt0347555;Comedy;1999
tt0347556;Drama;1999
tt0347582;Comedy,Romance;1999
tt0347592;Drama,Romance;1999
tt0345130;Drama;1999
tt0345913;Drama,Fantasy,Horror;1999
tt0345914;Drama,Romance;1999
tt0344290;Horror;1999
tt0344330;Horror;1999
tt0345979;Fantasy,Horror;1999
tt0346825;Drama;1999
tt0346911;Action,Fantasy,Horror;1999
tt0353552;Documentary;1999
tt0353679;Documentary;1999
tt0353194;Documentary;1999
tt0347917;Drama;1999
tt0347921;Comedy,Drama,Romance;1999
tt0347932;Drama;1999
tt0347981;Drama,Romance;1999
tt0349937;Action;1999
tt0348016;Action;1999
tt0348130;Action,Drama;1999
tt0348139;Drama,Romance;1999
tt0348170;Crime,Drama,Romance;1999
tt0348177;Action;1999
tt0348178;Comedy;1999
tt0348181;Comedy;1999
tt0348209;Action,Comedy;1999
tt0348210;Comedy;1999
tt0351096;Documentary;1999
tt0351106;Action;1999
tt0348342;Comedy,Drama,Family;1999
tt0348343;Drama;1999
tt0348360;Comedy;1999
tt0351269;Crime,Thriller;1999
tt0348650;Action,Drama;1999
tt0347760;Action,Adventure,Fantasy;1999
tt0347781;Action,Horror,Thriller;1999
tt0347802;Romance;1999
tt0347852;Action;1999
tt0347870;Action,Drama;1999
tt0349777;Family,Romance;1999
tt0369624;Horror;1999
tt0364416;Action,Drama;1999
tt0369898;Comedy,Romance;1999
tt0369904;Action,Crime,Thriller;1999
tt0361838;Adult,Documentary;1999
tt0359676;Crime,Drama,Thriller;1999
tt0360509;Drama;1999
tt0360758;Documentary;1999
tt0360899;Comedy;1999
tt0360665;Documentary;1999
tt0359952;Documentary;1999
tt0359333;Documentary;1999
tt0360192;Documentary;1999
tt0368736;Drama,Horror,Thriller;1999
tt0367931;Crime;1999
tt0368051;Documentary;1999
tt0368156;Comedy,Horror;1999
tt0366280;Drama;1999
tt0343640;Crime,Drama,Family;1999
tt0342078;Documentary;1999
tt0342094;Adult;1999
tt0343842;Comedy;1999
tt0343843;Action,Comedy,Drama;1999
tt0344018;Comedy,Drama,Romance;1999
tt0343983;Comedy,Crime;1999
tt0344111;Crime,Thriller;1999
tt0339174;Comedy;1999
tt0337353;Action,Comedy,Romance;1999
tt0338264;Comedy,Drama,Family;1999
tt0339239;Action;1999
tt0337576;Thriller;1999
tt0339654;Comedy;1999
tt0338030;Drama;1999
