items;support;count
{Adult};0.00300546448087432;253
{Brahmanandam};0.00355191256830601;299
{Western};0.00434782608695652;366
{Sport};0.0105131860299359;885
{War};0.0116298408172963;979
{Musical};0.0126277025421715;1063
{Music};0.0171418389166073;1443
{Animation};0.0191732002851034;1614
{History};0.0219054407222618;1844
{Biography};0.0274768353528154;2313
{2000};0.0357685911142789;3011
{Sci-Fi};0.031872178664766;2683
{Fantasy};0.0325017818959373;2736
{2001};0.0369090045141364;3107
{2002};0.0382751247327156;3222
{2003};0.0411855547636018;3467
{Family};0.0399976241387503;3367
{2004};0.0462698978379663;3895
{Mystery};0.0427298645759088;3597
{2005};0.052744119743407;4440
{2006};0.0558208600617724;4699
{Adventure};0.0475766215253029;4005
{2007};0.0596697552862913;5023
{2008};0.0686267521976717;5777
{2018};0.0832976954145878;7012
{Documentary};0.0962461392254692;8102
{Crime};0.0722618199097173;6083
{Horror};0.100261344737467;8440
{2015};0.113138512710858;9524
{2014};0.113649322879544;9567
{Romance};0.107709669755286;9067
{2016};0.119244476122594;10038
{Thriller};0.119101924447612;10026
{Action};0.10927773818009;9199
{2017};0.135400332620575;11398
{Comedy};0.259432169161321;21839
{Drama};0.473045854122119;39821
{Drama,Sport};0.00450225706818722;379
{Drama,War};0.00699691138037539;589
{Comedy,Musical};0.00399144689950107;336
{Drama,Musical};0.00511998099311;431
{Documentary,Music};0.00482299833689712;406
{2014,Music};0.00327868852459016;276
{Comedy,Music};0.00422903302447137;356
{Drama,Music};0.00757899738655263;638
{Animation,Family};0.00313613684960798;264
{Adventure,Animation};0.00650985982418627;548
{Action,Animation};0.00339748158707531;286
{Animation,Comedy};0.00532192919933476;448
{Biography,History};0.0050368258493704;424
{Documentary,History};0.00794725588025659;669
{2015,History};0.00325492991209313;274
{2014,History};0.00483487764314564;407
{2016,History};0.00301734378712283;254
{Drama,History};0.00988358279876455;832
{Biography,Documentary};0.0114041339985745;960
{2015,Biography};0.00413399857448325;348
{2014,Biography};0.00656925635542884;553
{2016,Biography};0.00418151579947731;352
{2017,Biography};0.00358755048705156;302
{Biography,Drama};0.0127583749109052;1074
{2000,Crime};0.00378949869327631;319
{2000,Romance};0.00532192919933476;448
{2000,Thriller};0.00395580898075552;333
{2000,Action};0.00510810168686149;430
{2000,Comedy};0.0103825136612022;874
{2000,Drama};0.0174863387978142;1472
{2018,Sci-Fi};0.00382513661202186;322
{Horror,Sci-Fi};0.00591589451176051;498
{2015,Sci-Fi};0.00427655024946543;360
{2014,Sci-Fi};0.00395580898075552;333
{2016,Sci-Fi};0.00413399857448325;348
{Sci-Fi,Thriller};0.00555951532430506;468
{Action,Sci-Fi};0.00710382513661202;598
{2017,Sci-Fi};0.00510810168686149;430
{Comedy,Sci-Fi};0.00450225706818722;379
{Drama,Sci-Fi};0.00688999762413875;580
{Adventure,Fantasy};0.00506058446186743;426
{Fantasy,Horror};0.00514373960560703;433
{2015,Fantasy};0.00358755048705156;302
{2014,Fantasy};0.00364694701829413;307
{2016,Fantasy};0.00437158469945355;368
{Action,Fantasy};0.0046448087431694;391
{2017,Fantasy};0.00403896412449513;340
{Comedy,Fantasy};0.00824423853646947;694
{Drama,Fantasy};0.0109527203611309;922
{2001,Crime};0.0037776193870278;318
{2001,Romance};0.0057495842242813;484
{2001,Thriller};0.00395580898075552;333
{2001,Action};0.00586837728676645;494
{2001,Comedy};0.0110121168923735;927
{2001,Drama};0.0186742694226657;1572
{2002,Crime};0.00357567118080304;301
{2002,Romance};0.00643858398669518;542
{2002,Thriller};0.00368258493703968;310
{2002,Action};0.00584461867426942;492
{2002,Comedy};0.0112140650985982;944
{2002,Drama};0.0202779757662153;1707
{2003,Documentary};0.00301734378712283;254
{2003,Crime};0.00339748158707531;286
{2003,Romance};0.00603468757424566;508
{2003,Thriller};0.00422903302447137;356
{2003,Action};0.00533380850558327;449
{2003,Comedy};0.0130315989546211;1097
{2003,Drama};0.0211095272036113;1777
{Adventure,Family};0.00585649798051794;493
{2015,Family};0.00541696364932288;456
{2014,Family};0.00647422190544072;545
{2016,Family};0.00497742931812782;419
{2017,Family};0.00540508434307437;455
{Comedy,Family};0.010655737704918;897
{Drama,Family};0.0155975291043003;1313
{2004,Documentary};0.0040152055119981;338
{2004,Crime};0.00339748158707531;286
{2004,Horror};0.00339748158707531;286
{2004,Romance};0.00617723924922785;520
{2004,Thriller};0.00447849845569019;377
{2004,Action};0.00561891185554764;473
{2004,Comedy};0.0128771679733904;1084
{2004,Drama};0.0227132335471608;1912
{2018,Mystery};0.00312425754335947;263
{Crime,Mystery};0.0077928248990259;656
{Horror,Mystery};0.0104775481111903;882
{2015,Mystery};0.00570206699928724;480
{2014,Mystery};0.00544072226181991;458
{2016,Mystery};0.0056664290805417;477
{Mystery,Thriller};0.0128296507483963;1080
{2017,Mystery};0.00595153243050606;501
{Comedy,Mystery};0.00389641244951295;328
{Drama,Mystery};0.018911855547636;1592
{2005,Documentary};0.00479923972440009;404
{2005,Crime};0.00370634354953671;312
{2005,Horror};0.0042527916369684;358
{2005,Romance};0.00680684248039915;573
{2005,Thriller};0.0046448087431694;391
{2005,Action};0.00555951532430506;468
{2005,Comedy};0.0149204086481349;1256
{2005,Drama};0.0263007840342124;2214
{2006,Documentary};0.00470420527441197;396
{2006,Crime};0.0040152055119981;338
{2006,Horror};0.00525065336184367;442
{2006,Romance};0.00664053219291993;559
{2006,Thriller};0.005511998099311;464
{2006,Action};0.00534568781183179;450
{2006,Comedy};0.0157994773105251;1330
{2006,Drama};0.0276431456402946;2327
{2018,Adventure};0.00393205036825849;331
{Adventure,Documentary};0.00340936089332383;287
{2015,Adventure};0.00585649798051794;493
{2014,Adventure};0.00650985982418627;548
{2016,Adventure};0.00634354953670706;534
{Action,Adventure};0.0165716322166785;1395
{2017,Adventure};0.0061416013304823;517
{Adventure,Comedy};0.0136374435732953;1148
{Adventure,Drama};0.0113328581610834;954
{2007,Documentary};0.00553575671180803;466
{2007,Crime};0.00487051556189119;410
{2007,Horror};0.0057495842242813;484
{2007,Romance};0.00693751484913281;584
{2007,Thriller};0.00584461867426942;492
{2007,Action};0.005904015205512;497
{2007,Comedy};0.0159301496792587;1341
{2007,Drama};0.0295081967213115;2484
{2008,Documentary};0.00703254929912093;592
{2008,Crime};0.00487051556189119;410
{2008,Horror};0.00601092896174863;506
{2008,Romance};0.00728201473033975;613
{2008,Thriller};0.0066167735804229;557
{2008,Action};0.00647422190544072;545
{2008,Comedy};0.0179021145165122;1507
{2008,Drama};0.0338203848895225;2847
{2018,Documentary};0.00320741268709907;270
{2018,Crime};0.00525065336184367;442
{2018,Horror};0.0109408410548824;921
{2018,Romance};0.00513186029935852;432
{2018,Thriller};0.0135661677358042;1142
{2018,Action};0.00955096222380613;804
{2018,Comedy};0.0177239249227845;1492
{2018,Drama};0.0341411261582324;2874
{2015,Documentary};0.0142314088857211;1198
{2014,Documentary};0.0176764076977904;1488
{2016,Documentary};0.0129484438108814;1090
{2017,Documentary};0.0124851508671894;1051
{Comedy,Documentary};0.00367070563079116;309
{Documentary,Drama};0.0085055832739368;716
{Crime,Horror};0.00370634354953671;312
{2015,Crime};0.00737704918032787;621
{2014,Crime};0.00722261819909717;608
{Crime,Romance};0.00319553338085056;269
{2016,Crime};0.0087431693989071;736
{Crime,Thriller};0.0175813732478023;1480
{Action,Crime};0.0196127346162984;1651
{2017,Crime};0.0082679971489665;696
{Comedy,Crime};0.0137087194107864;1154
{Crime,Drama};0.0381563316702305;3212
{2015,Horror};0.0123307198859587;1038
{2014,Horror};0.0122713233547161;1033
{2016,Horror};0.013768115942029;1159
{Horror,Thriller};0.0255642670468045;2152
{Action,Horror};0.0070087906866239;590
{2017,Horror};0.0167023045854122;1406
{Comedy,Horror};0.0131622713233547;1108
{Drama,Horror};0.0144333570919458;1215
{2015,Romance};0.01143977191732;963
{2015,Thriller};0.0147897362794013;1245
{2015,Action};0.0115110477548111;969
{2015,Comedy};0.0282608695652174;2379
{2015,Drama};0.0533024471370872;4487
{2014,Romance};0.0121644095984794;1024
{2014,Thriller};0.0143620812544547;1209
{2014,Action};0.0109289617486339;920
{2014,Comedy};0.0290805416963649;2448
{2014,Drama};0.052744119743407;4440
{2016,Romance};0.0112259444048468;945
{Romance,Thriller};0.00441910192444761;372
{Action,Romance};0.00576146353052982;485
{2017,Romance};0.0103587550487052;872
{Comedy,Romance};0.0418032786885246;3519
{Drama,Romance};0.0593965312425754;5000
{2016,Thriller};0.0155143739605607;1306
{2016,Action};0.0123069612734616;1036
{2016,Comedy};0.0295557139463055;2488
{2016,Drama};0.0551793775243526;4645
{Action,Thriller};0.015728201473034;1324
{2017,Thriller};0.0179496317415063;1511
{Comedy,Thriller};0.00571394630553576;481
{Drama,Thriller};0.037776193870278;3180
{2017,Action};0.0139225469232597;1172
{Action,Comedy};0.0190900451413637;1607
{Action,Drama};0.0323948681397006;2727
{2017,Comedy};0.0317415062960323;2672
{2017,Drama};0.0601449275362319;5063
{Comedy,Drama};0.0786291280589214;6619
{2014,Biography,Documentary};0.00458541221192682;386
{2000,Drama,Romance};0.00302922309337135;255
{2000,Comedy,Drama};0.00317177476835353;267
{2001,Drama,Romance};0.00306486101211689;258
{2001,Comedy,Drama};0.00363506771204562;306
{2002,Drama,Romance};0.0036231884057971;305
{2002,Comedy,Drama};0.00395580898075552;333
{2003,Drama,Romance};0.00331432644333571;279
{2003,Comedy,Drama};0.00445473984319316;375
{Comedy,Drama,Family};0.00363506771204562;306
{2004,Drama,Romance};0.00331432644333571;279
{2004,Comedy,Drama};0.0033856022808268;285
{Crime,Drama,Mystery};0.00381325730577334;321
{Horror,Mystery,Thriller};0.00378949869327631;319
{Drama,Mystery,Thriller};0.00355191256830601;299
{2005,Drama,Romance};0.0036231884057971;305
{2005,Comedy,Drama};0.00427655024946543;360
{2006,Drama,Romance};0.00376574008077928;317
{2006,Comedy,Drama};0.00452601568068425;381
{Action,Adventure,Comedy};0.00352815395580898;297
{2007,Drama,Romance};0.00403896412449513;340
{2007,Comedy,Drama};0.00476360180565455;401
{2008,Drama,Romance};0.00445473984319316;375
{2008,Comedy,Drama};0.00528629128058921;445
{2018,Comedy,Drama};0.0037776193870278;318
{2014,Documentary,Drama};0.00301734378712283;254
{2015,Crime,Drama};0.00392017106200998;330
{2014,Crime,Drama};0.00383701591827037;323
{2016,Crime,Drama};0.00438346400570207;369
{Action,Crime,Thriller};0.00346875742456641;292
{Crime,Drama,Thriller};0.00741268709907341;624
{Action,Comedy,Crime};0.00327868852459016;276
{Action,Crime,Drama};0.00846994535519126;713
{2017,Crime,Drama};0.00428842955571395;361
{Comedy,Crime,Drama};0.00380137799952483;320
{2015,Horror,Thriller};0.0035400332620575;298
{2014,Horror,Thriller};0.00358755048705156;302
{2016,Horror,Thriller};0.00361130909954859;304
{2017,Horror,Thriller};0.00376574008077928;317
{Drama,Horror,Thriller};0.00400332620574958;337
{2015,Comedy,Romance};0.00446661914944167;376
{2015,Drama,Romance};0.0063791874554526;537
{2015,Drama,Thriller};0.00531004989308624;447
{2015,Action,Drama};0.00331432644333571;279
{2015,Comedy,Drama};0.0092896174863388;782
{2014,Comedy,Romance};0.00490615348063673;413
